"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"RELIANCE","EQ","01-Nov-2019","       1464.35","       1455.00","       1461.80","       1441.00","       1456.15","       1456.90","       1451.60","    6356579","          9227241717.35","     236195"
"RELIANCE","EQ","04-Nov-2019","       1456.90","       1465.90","       1471.00","       1445.10","       1460.65","       1457.65","       1456.28","    6429329","          9362882583.55","     203644"
"RELIANCE","EQ","05-Nov-2019","       1457.65","       1463.10","       1468.95","       1441.00","       1447.50","       1447.30","       1449.21","    5799318","          8404412065.65","     154824"
"RELIANCE","EQ","06-Nov-2019","       1447.30","       1442.70","       1446.45","       1428.50","       1433.00","       1434.90","       1436.25","    6686289","          9603195008.95","     158809"
"RELIANCE","EQ","07-Nov-2019","       1434.90","       1435.00","       1463.00","       1432.20","       1461.00","       1458.60","       1448.68","    6438749","          9327688345.55","     135012"
"RELIANCE","EQ","08-Nov-2019","       1458.60","       1449.00","       1459.65","       1441.30","       1446.00","       1445.50","       1448.50","    5494844","          7959284446.45","     141759"
"RELIANCE","EQ","11-Nov-2019","       1445.50","       1439.10","       1444.25","       1422.55","       1427.80","       1427.80","       1431.40","    5192423","          7432416174.60","     145722"
"RELIANCE","EQ","13-Nov-2019","       1427.80","       1430.00","       1475.90","       1430.00","       1469.10","       1472.30","       1460.74","   11532364","         16845751336.90","     213111"
"RELIANCE","EQ","14-Nov-2019","       1472.30","       1476.00","       1481.60","       1455.80","       1458.25","       1462.75","       1466.92","    6518339","          9561881076.55","     127557"
"RELIANCE","EQ","15-Nov-2019","       1462.75","       1465.65","       1486.80","       1463.15","       1466.80","       1470.85","       1476.84","    7173674","         10594340066.20","     152000"
"RELIANCE","EQ","18-Nov-2019","       1470.85","       1472.65","       1486.00","       1455.40","       1460.05","       1459.20","       1468.40","    6435097","          9449287322.40","     128242"
"RELIANCE","EQ","19-Nov-2019","       1459.20","       1467.00","       1514.90","       1465.00","       1511.55","       1509.75","       1496.45","   13795569","         20644325394.65","     285115"
