"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"SBIN","EQ","08-Mar-2018","        246.65","        247.00","        257.95","        244.30","        256.65","        256.80","        251.48","   33133336","          8332437261.75","     171219"
"SBIN","N2","08-Mar-2018","      11304.33","      11350.00","      11350.00","      11301.00","      11301.00","      11306.64","      11334.26","         80","              906741.00","         10"
"SBIN","N5","08-Mar-2018","      11547.37","      11410.00","      11570.00","      11410.00","      11562.00","      11560.50","      11550.08","        612","             7068650.69","         46"
"SBIN","EQ","09-Mar-2018","        256.80","        257.00","        257.40","        251.65","        253.65","        253.25","        253.89","   21536191","          5467877285.85","     131269"
"SBIN","N2","09-Mar-2018","      11306.64","      11301.01","      11301.01","      11301.00","      11301.00","      11301.00","      11301.00","          3","               33903.01","          2"
"SBIN","N5","09-Mar-2018","      11560.50","      11600.00","      11660.98","      11570.00","      11597.90","      11597.92","      11584.59","        737","             8537840.15","         93"
"SBIN","N6","09-Mar-2018","      11225.35","      11478.00","      11478.00","      11475.00","      11475.00","      11475.00","      11476.50","         20","              229530.00","          2"
"SBIN","EQ","12-Mar-2018","        253.25","        254.10","        255.25","        247.25","        253.55","        252.85","        250.26","   25332474","          6339809854.50","     131673"
"SBIN","N2","12-Mar-2018","      11301.00","      11310.00","      11310.00","      11310.00","      11310.00","      11310.00","      11310.00","         25","              282750.00","          2"
"SBIN","N5","12-Mar-2018","      11597.92","      11600.00","      11675.00","      11591.00","      11600.00","      11599.86","      11612.73","        783","             9092770.18","         35"
"SBIN","N6","12-Mar-2018","      11475.00","      11201.50","      11201.50","      11201.50","      11201.50","      11201.50","      11201.50","          3","               33604.50","          1"
"SBIN","EQ","13-Mar-2018","        252.85","        251.30","        262.40","        249.60","        254.10","        254.70","        257.10","   37647221","          9679284350.25","     181837"
"SBIN","N2","13-Mar-2018","      11310.00","      11300.10","      11305.00","      11300.00","      11305.00","      11305.00","      11301.30","         20","              226026.04","          4"
"SBIN","N5","13-Mar-2018","      11599.86","      11610.00","      11625.00","      11581.00","      11600.01","      11614.37","      11609.56","        112","             1300271.06","         14"
"SBIN","EQ","14-Mar-2018","        254.70","        252.50","        257.85","        250.00","        257.80","        257.05","        253.76","   25471485","          6463746575.00","     131180"
"SBIN","N2","14-Mar-2018","      11305.00","      11305.00","      11320.00","      11301.00","      11320.00","      11320.00","      11304.55","         22","              248700.00","          3"
"SBIN","N5","14-Mar-2018","      11614.37","      11624.00","      11624.00","      11566.10","      11566.10","      11576.96","      11598.07","        769","             8918913.27","         49"
"SBIN","EQ","15-Mar-2018","        257.05","        257.00","        258.80","        252.55","        253.25","        253.70","        255.63","   18339890","          4688276846.90","      90568"
"SBIN","N2","15-Mar-2018","      11320.00","      10450.00","      10600.00","      10450.00","      10500.00","      10536.77","      10518.51","         57","              599555.00","         20"
"SBIN","N5","15-Mar-2018","      11576.96","      10702.00","      10702.00","      10620.00","      10649.99","      10632.07","      10645.66","        774","             8239744.46","        127"
